Zone,1,2,3,4
t100,-1.2797994763187893e-7,-3.425603864445541e-8,-1.9151905532709283e-7,-3.403537525997023e-7
t101,-1.388633860665828e-7,-3.750180482281084e-8,-2.052694266137663e-7,-3.6673368817033466e-7
t102,-1.4522288273594743e-7,-3.9410009987753224e-8,-2.138709308815026e-7,-3.8148089689361824e-7
t103,-1.5112971647301994e-7,-4.109494682544771e-8,-2.2105676553674142e-7,-3.9414258358252743e-7
t104,-1.5532744381349147e-7,-4.233749102844974e-8,-2.26481263340936e-7,-4.0419242087644687e-7
t105,-1.5695919436655903e-7,-4.280037153048104e-8,-2.2759693240966477e-7,-4.07654418512606e-7
t106,-1.5479007182631205e-7,-4.1932997879012065e-8,-2.2319501921076114e-7,-4.007840526316808e-7
t107,-1.5641118425884526e-7,-4.233742158931158e-8,-2.2427978987772574e-7,-4.007840465631666e-7
t108,-1.4762930037989762e-7,-3.977426766487775e-8,-2.1287998481814137e-7,-3.814779492875968e-7
t109,-1.3629613725467423e-7,-3.644487176471497e-8,-1.9902590508815204e-7,-3.557128281050887e-7
t110,-1.3142319665345328e-7,-3.491177226961122e-8,-1.9232509287233487e-7,-3.453249865384652e-7
t111,-1.27607173358283e-7,-3.38298126091169e-8,-1.8680813638070015e-7,-3.35514250947161e-7
t112,-1.2470194695012593e-7,-3.286825845152464e-8,-1.823162879577376e-7,-3.285081182050119e-7
t113,-1.2505838631550874e-7,-3.296917089563205e-8,-1.8305071599780242e-7,-3.285084916000289e-7
t114,-1.2723752855488406e-7,-3.355053482007804e-8,-1.8528817769272032e-7,-3.331486379159824e-7
t115,-1.2686956584271735e-7,-3.351590107436135e-8,-1.8453688674778368e-7,-3.308137071260734e-7
t116,-1.2723766942408344e-7,-3.362003687500769e-8,-1.8528842119181421e-7,-3.331493566108189e-7
t117,-1.2835418405283267e-7,-3.3935618828083534e-8,-1.8680927503756782e-7,-3.355174542167084e-7
t118,-1.239952805316677e-7,-3.276790619537108e-8,-1.8231687653957476e-7,-3.2623694339977956e-7
t119,-1.1925004486315012e-7,-3.144376848864298e-8,-1.7664031753328362e-7,-3.17446262951236e-7
t120,-1.209051463467971e-7,-3.191808946937652e-8,-1.7943581001649278e-7,-3.217837227656549e-7
t121,-1.247022971891278e-7,-3.3104524307229224e-8,-1.845368795088704e-7,-3.3081368776420606e-7
t122,-1.2797997923800542e-7,-3.4077428071361764e-8,-1.8913605440133688e-7,-3.4035386903151995e-7
t123,-1.3301115843387846e-7,-3.558841609710473e-8,-1.9562158937288296e-7,-3.504471023115363e-7
t124,-1.410731630064195e-7,-3.783721931374534e-8,-2.0526951053924765e-7,-3.695934165283408e-7
t125,-1.4861418020384065e-7,-4.0144349337148144e-8,-2.1587787841027158e-7,-3.8771134131098123e-7
t126,-1.5479070961561823e-7,-4.1933077373406776e-8,-2.2319618954735137e-7,-4.007873019045248e-7
t127,-1.6089714434347523e-7,-4.3698485405108884e-8,-2.3100979209866172e-7,-4.1475833713144526e-7
t128,-1.6147500816297757e-7,-4.3860273477503854e-8,-2.3216923861075537e-7,-4.147580203692349e-7
t129,-1.6205675257966102e-7,-4.39686794737947e-8,-2.3216894743121755e-7,-4.147572650183188e-7
t130,-1.5751000247063564e-7,-4.259354002187837e-8,-2.2537480171948248e-7,-4.0418943891823405e-7
t131,-1.5586723584297956e-7,-4.2083890838754067e-8,-2.221203366737167e-7,-3.974344969647113e-7
t132,-1.466574833875932e-7,-3.931972611763296e-8,-2.1092652139594142e-7,-3.7843623973732334e-7
t133,-1.338177808364562e-7,-3.555018238232112e-8,-1.9395927277373226e-7,-3.478659025978185e-7
t134,-1.261386775259469e-7,-3.3240655574727014e-8,-1.837900015954508e-7,-3.308104763034518e-7
t135,-1.2191844626024052e-7,-3.201424127037498e-8,-1.78026536249227e-7,-3.1959759463190086e-7
t136,-1.2260336982487694e-7,-3.211095868963114e-8,-1.7872811864890767e-7,-3.217809520906378e-7
t137,-1.229486021294263e-7,-3.224064885159278e-8,-1.787282660044589e-7,-3.217813561789622e-7
t138,-1.2434797461472477e-7,-3.260168335691417e-8,-1.8014774444145243e-7,-3.239952905444177e-7
t139,-1.2577726492286977e-7,-3.3070629778226075e-8,-1.8231707723413983e-7,-3.2851034908644216e-7
t140,-1.2686956445733871e-7,-3.341228481296839e-8,-1.8379114503172017e-7,-3.3081369817912725e-7
t141,-1.2835420400689176e-7,-3.3935622943592776e-8,-1.8604588344924777e-7,-3.3551752628575604e-7
t142,-1.2470230486355352e-7,-3.29692123517411e-8,-1.830511791772678e-7,-3.2850978916550436e-7
t143,-1.1990680561437952e-7,-3.156912415839927e-8,-1.7733110458672693e-7,-3.174454200540515e-7
t144,-1.2090499399649933e-7,-3.1950097483341e-8,-1.7943556928205182e-7,-3.217828572842155e-7
t145,-1.2470231428716204e-7,-3.303675924053739e-8,-1.845369028182827e-7,-3.3081374645643765e-7
t146,-1.2797999098556085e-7,-3.407743049438784e-8,-1.8913607108107958e-7,-3.4035390936214464e-7
t147,-1.3142385752978317e-7,-3.509766765956662e-8,-1.9396050022468596e-7,-3.4786934057295616e-7
t148,-1.367183309733599e-7,-3.672462069947644e-8,-2.0165710661165308e-7,-3.6114288646240503e-7
t149,-1.4428099764213182e-7,-3.900676562610827e-8,-2.1092788185756192e-7,-3.784400732512555e-7
t150,-1.521587864583486e-7,-4.1289605290691925e-8,-2.2105675747449484e-7,-3.974377040327434e-7
t151,-1.5862428794200118e-7,-4.321910233108996e-8,-2.2986136213275038e-7,-4.1117677963653713e-7
t152,-1.6264283326176167e-7,-4.4241782067426843e-8,-2.333400954524495e-7,-4.184012341223235e-7
t153,-1.6442494493663852e-7,-4.479663972449206e-8,-2.3571618416085256e-7,-4.2210713206736933e-7
t154,-1.6502689489113337e-7,-4.496536745938696e-8,-2.369211575264404e-7,-4.221046922769456e-7
t155,-1.7194243703537084e-7,-4.683535202935853e-8,-2.4441450747407015e-7,-4.3759897003775514e-7
t156,-1.6563351986211346e-7,-4.5021866653434853e-8,-2.36921154800791e-7,-4.2587632100648165e-7
t157,-1.532006381362734e-7,-4.1485739684139834e-8,-2.2212033216780667e-7,-3.974344866057083e-7
t158,-1.424305129461919e-7,-3.843617859062714e-8,-2.0900732321583447e-7,-3.754416741636938e-7
t159,-1.3756811991130751e-7,-3.7007750459194444e-8,-2.0254739867614403e-7,-3.6391376218631757e-7
t160,-1.354607646481106e-7,-3.6286669676641453e-8,-1.99895826645377e-7,-3.5840781822835454e-7
t161,-1.334133989678525e-7,-3.5741643163419653e-8,-1.9646198851098193e-7,-3.53061259132164e-7
t162,-1.358777771788525e-7,-3.644496204918008e-8,-1.9989648818907443e-7,-3.584096371856104e-7
t163,-1.3842937332092867e-7,-3.725347944062097e-8,-2.0344792141176698e-7,-3.611430038560474e-7
