Zone,1,2,3,4,Total
t98,7.923041494657448e-11,9.091282933773889e-11,8.864855495994327e-11,6.528421095315192e-11,3.240760101974086e-10
t99,7.922021149363852e-11,9.089306857995261e-11,8.862458626423833e-11,6.527526456334577e-11,3.2401313090117526e-10
t100,7.920835580709535e-11,9.086638060159923e-11,8.859070778381238e-11,6.526164701018336e-11,3.239270912026903e-10
t101,7.919667686763655e-11,9.083126152690646e-11,8.854585050292039e-11,6.524381058033256e-11,3.238175994777959e-10
t102,7.917561167549047e-11,9.076797179484522e-11,8.847004588583141e-11,6.521112402057456e-11,3.2362475337674165e-10
t103,7.914834041634971e-11,9.066762977163116e-11,8.835718723002174e-11,6.516421048148396e-11,3.2333736789948657e-10
t104,7.906851553612661e-11,9.045595554355844e-11,8.8138186652872e-11,6.506099496924767e-11,3.227236527018047e-10
t105,7.91136811775645e-11,9.031082600008658e-11,8.798454470177495e-11,6.504242573566971e-11,3.2245147761509574e-10
t106,7.994192612974471e-11,9.094747201708217e-11,8.864453805339849e-11,6.567298703319126e-11,3.2520692323341664e-10
t107,7.986747724729508e-11,9.068343937695017e-11,8.846019099394996e-11,6.560279811528083e-11,3.2461390573347604e-10
t108,7.974952694539155e-11,9.04872085397394e-11,8.829621038037265e-11,6.548928955052134e-11,3.240222354160249e-10
t109,7.978449629911685e-11,9.056762948585399e-11,8.837793027395816e-11,6.551921089907174e-11,3.2424926695800075e-10
t110,7.986886650793232e-11,9.081915871423079e-11,8.861288224062203e-11,6.560998655617763e-11,3.249108940189628e-10
t111,8.006586358139265e-11,9.12723577615596e-11,8.898768962447341e-11,6.577856326558139e-11,3.2610447423300703e-10
t112,7.905070426460272e-11,9.041512073005514e-11,8.812783064588258e-11,6.501326467717571e-11,3.2260692031771616e-10
t113,7.899050754423115e-11,9.04660207426528e-11,8.819785024372905e-11,6.500982666172193e-11,3.226642051923349e-10
t114,7.906727954079186e-11,9.063169257750361e-11,8.837989785761447e-11,6.51050748909049e-11,3.2318394486681483e-10
t115,7.920234431744274e-11,9.084026864882735e-11,8.859055942509129e-11,6.523229359764432e-11,3.238654659890057e-10
t116,7.926221968656358e-11,9.094153744686136e-11,8.869878207525699e-11,6.529290715871542e-11,3.241954463673974e-10
t117,7.93061133738429e-11,9.101328585840935e-11,8.877692421541632e-11,6.533825008191937e-11,3.2443457352958797e-10
t118,7.933330056197958e-11,9.105781784947213e-11,8.882600130662846e-11,6.536671185419911e-11,3.2458383157227925e-10
t119,7.935114032677828e-11,9.108634386754519e-11,8.885706120361827e-11,6.538526258882096e-11,3.246798079867627e-10
t120,7.93683088632296e-11,9.111068765942726e-11,8.888304850852704e-11,6.54022623721392e-11,3.247643074033231e-10
t121,7.937951269188078e-11,9.112522825455998e-11,8.88978845371868e-11,6.54132065595097e-11,3.2481583204313726e-10
t122,7.938647161077625e-11,9.11315517362414e-11,8.89030097412274e-11,6.541886312733662e-11,3.248398962155817e-10
t123,7.939359557425863e-11,9.113426109320774e-11,8.890344534765392e-11,6.542275877936189e-11,3.2485406079448223e-10
t124,7.939074122126427e-11,9.112030701625364e-11,8.888620805723817e-11,6.541605126210893e-11,3.24813307556865e-10
t125,7.937462883807784e-11,9.108310858192373e-11,8.884490740940085e-11,6.539462390235005e-11,3.2469726873175243e-10
t126,7.935381853336978e-11,9.102627371150273e-11,8.878425689646017e-11,6.536364794335216e-11,3.245279970846848e-10
t127,7.932685167165728e-11,9.09386364507279e-11,8.86946147117044e-11,6.532015928833405e-11,3.242802621224236e-10
t128,7.92563878737737e-11,9.076187619176566e-11,8.852289483481258e-11,6.523091381839175e-11,3.237720727187437e-10
t129,7.936622104257667e-11,9.074098907587804e-11,8.849549360401221e-11,6.527530320098464e-11,3.238780069234516e-10
t130,8.049963120157935e-11,9.180052205227385e-11,8.954301228723689e-11,6.61622822540629e-11,3.28005447795153e-10
t131,8.06030791006171e-11,9.180477583111642e-11,8.958700771205483e-11,6.62401182114645e-11,3.282349808552528e-10
t132,8.051755441088157e-11,9.17021165944564e-11,8.949495149775884e-11,6.616165373951302e-11,3.2787627624260986e-10
t133,8.058258638809788e-11,9.186260722171141e-11,8.962850667325963e-11,6.620987309101814e-11,3.2828357337408705e-10
t134,8.047067445629443e-11,9.189023640913545e-11,8.962045052925678e-11,6.611487407478783e-11,3.280962354694745e-10
t135,7.919666958719359e-11,9.067636619720874e-11,8.842773450115069e-11,6.513721084112119e-11,3.2343798112667425e-10
t136,7.909151115543552e-11,9.064361113411521e-11,8.840664220686134e-11,6.509280198741421e-11,3.232345664838263e-10
t137,7.91218067564072e-11,9.0739667828996e-11,8.851108336922066e-11,6.515021207631139e-11,3.235227700309353e-10
t138,7.928363780536721e-11,9.097608101422175e-11,8.874477816016565e-11,6.530822609107886e-11,3.2431272307083343e-10
t139,7.944675474654439e-11,9.11935347545514e-11,8.89531125910083e-11,6.545143973805151e-11,3.2504484183015556e-10
t140,7.947592797617739e-11,9.12430965303949e-11,8.90036465780903e-11,6.548321735849754e-11,3.2520588844316016e-10
t141,7.948440946157488e-11,9.12629160431994e-11,8.902470099900734e-11,6.549726804250628e-11,3.2526929454628794e-10
t142,7.948744242015369e-11,9.12715832379696e-11,8.903261096187101e-11,6.550429525818318e-11,3.2529593187817745e-10
t143,7.94933065537869e-11,9.128036978416994e-11,8.903868950776099e-11,6.551177086003129e-11,3.2532413670574913e-10
t144,7.949601961591022e-11,9.128229125049786e-11,8.903549883732186e-11,6.551517634453509e-11,3.2532898604826503e-10
t145,7.948342894457511e-11,9.12628620025599e-11,8.900961936783333e-11,6.550473092545268e-11,3.25260641240421e-10
t146,7.945250854073592e-11,9.121802703932998e-11,8.895721362001528e-11,6.547761820266376e-11,3.2510536740274493e-10
t147,7.940937592067929e-11,9.115384539621611e-11,8.888279951332788e-11,6.543774895891021e-11,3.248837697891335e-10
t148,7.936376321230891e-11,9.107956056772292e-11,8.87948392162654e-11,6.53924120434271e-11,3.2463057503972434e-10
t149,7.931764843001715e-11,9.099193074222733e-11,8.8690424471276e-11,6.5341804967877e-11,3.2434180861139747e-10
t150,7.925331531979918e-11,9.086137642125756e-11,8.854052733277406e-11,6.526899874580308e-11,3.239242178196339e-10
t151,7.915960617847711e-11,9.065972949264774e-11,8.831837550386774e-11,6.51612753717803e-11,3.232989865467729e-10
t152,7.90008362374092e-11,9.031952646871061e-11,8.796638843109401e-11,6.498436182379652e-11,3.2227111296101036e-10
t153,7.896290875777608e-11,9.002536744127905e-11,8.76673392199726e-11,6.488645806430306e-11,3.215420734833308e-10
t154,7.951203941835796e-11,9.029181626461939e-11,8.799840177417045e-11,6.529049147878238e-11,3.230927489359302e-10
t155,7.931076554791514e-11,8.989056461081965e-11,8.766667407835663e-11,6.509082599466055e-11,3.2195883023175197e-10
t156,7.921567772387734e-11,8.97293142162952e-11,8.752838913632278e-11,6.498973977466914e-11,3.214631208511645e-10
t157,7.931267471319312e-11,8.991308460071132e-11,8.771837838698649e-11,6.507942363707226e-11,3.2202356133796317e-10
t158,7.958564798130257e-11,9.04306120847296e-11,8.820636680628294e-11,6.533821462786348e-11,3.2356084150017857e-10
t159,8.021004853239685e-11,9.14238183025092e-11,8.909538758433596e-11,6.586832226258526e-11,3.265975766818273e-10
t160,7.906297187586455e-11,9.042228659335014e-11,8.811769160161135e-11,6.501274970478696e-11,3.22615699775613e-10
t161,7.90423544412894e-11,9.052943824794413e-11,8.824722209975897e-11,6.504821565519058e-11,3.2286723044418307e-10
t162,7.917325272285953e-11,9.077016242097941e-11,8.850065613366268e-11,6.519278286654901e-11,3.2363685414405065e-10
t163,7.932455441143369e-11,9.099836571512356e-11,8.872921054331864e-11,6.533123522738425e-11,3.2438336589726015e-10
t164,7.9368496224264e-11,9.10822136650223e-11,8.881954570403009e-11,6.538092569528762e-11,3.24651181288604e-10
t165,7.939571146441901e-11,9.113349476439082e-11,8.887531774112703e-11,6.541402797654707e-11,3.248185519464839e-10
