Zone,1,2,3,4
t20,5.282797632723118e-7,5.314673026072544e-7,5.208174771127382e-7,5.14798182392083e-7
t21,5.364686848207356e-7,5.398970688550661e-7,5.289702516253174e-7,5.239263165130143e-7
t22,5.652280276878793e-7,5.684074546057702e-7,5.580082155094699e-7,5.544270612367089e-7
t23,5.974396009689819e-7,5.999277829699167e-7,5.907210816442201e-7,5.875408137418234e-7
t24,6.017484075231305e-7,6.043414906718199e-7,5.950954998175654e-7,5.926064593298909e-7
t25,6.009644060295404e-7,6.039043219106255e-7,5.942758741519695e-7,5.927577298874296e-7
t26,5.927534403390037e-7,5.960062469255279e-7,5.859825752436978e-7,5.848065836987236e-7
t27,5.762404315326062e-7,5.799511604521808e-7,5.692662662350339e-7,5.682409686985568e-7
t28,5.545496816099045e-7,5.587404622721818e-7,5.473788402887428e-7,5.4591486068228e-7
t29,5.261920392487873e-7,5.309696627603477e-7,5.186925700154557e-7,5.164334585729051e-7
t30,4.827923908366212e-7,4.886721716833622e-7,4.7483862721018395e-7,4.714680701310069e-7
t31,4.2138402482631364e-7,4.292131378826071e-7,4.1256853067197353e-7,4.0829536632397877e-7
t32,1.8853304564465056e-7,2.1338688669201278e-7,1.73915550417464e-7,1.7454401760587908e-7
t33,-1.3611710261851761e-6,-1.3030304408328025e-6,-1.3843278409816604e-6,-1.3687663739223014e-6
t34,-3.528327733790163e-5,-3.523207553935507e-5,-3.5302273281650966e-5,-3.527514865129769e-5
t35,-3.827648688941921e-5,-3.822415129943849e-5,-3.829549802258228e-5,-3.825989867538292e-5
t36,-3.8599047320072286e-5,-3.854325313435777e-5,-3.8618487514360555e-5,-3.85801098295728e-5
t37,-3.818578434486906e-5,-3.8125581325922714e-5,-3.820596842862776e-5,-3.816732188920683e-5
t38,-3.612210722082796e-5,-3.6060738085584374e-5,-3.614371952934278e-5,-3.6109819295521694e-5
t39,-2.2635842326062042e-5,-2.2564679274522396e-5,-2.26596994576452e-5,-2.262084187930596e-5
t40,-1.704643777441961e-7,-8.955847868097333e-8,-1.9936826698473324e-7,-1.5259752384553348e-7
t41,1.4420870280538722e-7,1.8574082136297057e-7,1.2349777141382343e-7,1.4863607990005653e-7
t42,3.5662020439761047e-7,3.674857371369026e-7,3.4612535672670565e-7,3.5095801247287933e-7
t43,4.86202262834888e-7,4.918417894123906e-7,4.777206121688932e-7,4.791807304257473e-7
t44,4.963784276714547e-7,5.017125250401884e-7,4.880753690746517e-7,4.88329018123762e-7
t45,5.079272499757589e-7,5.130314008781297e-7,4.998699256381974e-7,4.991192207662323e-7
t46,5.283983342884183e-7,5.336083357947327e-7,5.20670668891305e-7,5.209924906650661e-7
t47,5.536083903384275e-7,5.584171746854041e-7,5.463031180343357e-7,5.471779371307694e-7
t48,5.799221701754825e-7,5.842786014940892e-7,5.73029721951942e-7,5.741303755295721e-7
t49,5.953152948878201e-7,5.995169423459296e-7,5.88622676242739e-7,5.900815517395227e-7
t50,5.97357788858221e-7,6.01435605019011e-7,5.907483388606647e-7,5.918182197790032e-7
t51,5.770327004917429e-7,5.813723712398785e-7,5.701457660070683e-7,5.70819328140506e-7
t52,5.421303936908423e-7,5.47203510579406e-7,5.347867398327086e-7,5.350126638876648e-7
t53,4.992371869819198e-7,5.049920451141854e-7,4.913117879539408e-7,4.902985039408915e-7
t54,4.5365019888714903e-7,4.6001402303981884e-7,4.451622062044057e-7,4.417308178539597e-7
t55,4.021599351343787e-7,4.093823408849385e-7,3.929831789615728e-7,3.8639154572653965e-7
t56,1.8818328608150235e-7,2.134945884885825e-7,1.731727509447783e-7,1.7325950857209465e-7
t57,-1.325358291726873e-6,-1.2624378953774136e-6,-1.3507931391846052e-6,-1.327943627686062e-6
t58,-3.045004145023671e-5,-3.0390889975423644e-5,-3.0473203811132533e-5,-3.0440831731082312e-5
t59,-3.6211374125807506e-5,-3.615031778565579e-5,-3.6234870008186864e-5,-3.6192240766304925e-5
t60,-3.717306930335333e-5,-3.7108914738087446e-5,-3.719681350753432e-5,-3.714675167107975e-5
t61,-3.678728910866584e-5,-3.671866053710619e-5,-3.6811978372723254e-5,-3.675932417876243e-5
t62,-3.49585117749707e-5,-3.488653357753105e-5,-3.4983726933385354e-5,-3.493206299857623e-5
t63,-2.0856209112148812e-5,-2.0781203852982705e-5,-2.0882400387691044e-5,-2.083237470799183e-5
t64,-1.195101875110509e-7,-4.03421410589275e-8,-1.477244752489043e-7,-9.473040381743201e-8
