Constraint,CapRes_1
t435,2.81242536555466e-8
t436,1.3224909059794815e-8
t437,5.707715197863013e-10
t438,-3.990382722192493e-9
t439,-6.922204964940234e-9
t440,-8.80930404013539e-9
t441,-1.3754359088287102e-8
t442,-1.4997176077638598e-8
t443,-1.499675292725957e-8
t444,-1.5008487158202717e-8
t445,-1.3011163513685024e-8
t446,-9.510869019023962e-9
t447,-3.438139413753431e-9
t448,4.088740734828813e-9
t449,1.65538152993621e-8
t450,3.8315149315651884e-8
t451,4.551391023463905e-8
t452,4.4062965781564706e-8
t453,4.2383548099144134e-8
t454,4.2047528915037744e-8
t455,6.022209522565015e-8
t456,7.374114985633494e-8
t457,5.949632517128763e-8
t458,4.961114987159411e-8
t459,3.270801665930537e-8
t460,1.5256013770542168e-8
t461,5.399186454940981e-9
t462,7.568260338805801e-11
t463,-3.5884549608498744e-9
t464,-8.858252905736063e-9
t465,-1.4316115909868524e-8
t466,-1.5539557224713807e-8
t467,-1.5738657544038333e-8
t468,-1.5379232650953657e-8
t469,-1.3990919988128384e-8
t470,-1.1580389247133463e-8
t471,-7.43184688181083e-9
t472,-8.143033777314659e-10
t473,1.0533437520355543e-8
t474,3.398103731593187e-8
t475,4.077140282713849e-8
t476,3.971572207301835e-8
t477,3.627334832034437e-8
t478,4.005614124741364e-8
t479,4.8887736649334136e-8
t480,4.5945805436375037e-8
t481,3.6669175880473783e-8
t482,3.289694907691328e-8
t483,2.619003147019668e-8
t484,1.859719437780963e-8
t485,1.021889183574325e-8
t486,4.400705754192371e-9
t487,2.3149693365528533e-10
t488,-6.709595262073158e-9
t489,-1.2221924367371354e-8
t490,-1.5416296854970168e-8
t491,-1.70280346509706e-8
t492,-1.6745883108274702e-8
t493,-1.53020796235494e-8
t494,-1.2502217667488038e-8
t495,-9.005580065969556e-9
t496,-3.815726041709506e-9
t497,6.0644336445931925e-9
t498,1.5572064987526867e-8
t499,1.4257631979186638e-8
t500,1.3351703052023474e-8
t501,1.2927121446533042e-8
