Zone,1,2,3,4
t22,-3.0406913972982936e-7,-2.4900042310973705e-7,-3.6311265927388264e-7,-5.274971308294831e-7
t23,-3.1223186000964787e-7,-2.688627249844995e-7,-3.6570076422712544e-7,-5.150685568871576e-7
t24,-3.1270322418062367e-7,-2.718084028441426e-7,-3.645463059346068e-7,-5.141438008716055e-7
t25,-3.128717082710359e-7,-2.714912581546315e-7,-3.649497854219185e-7,-5.141976696768736e-7
t26,-3.099502546615962e-7,-2.664066408228111e-7,-3.637019729083422e-7,-5.169166947331786e-7
t27,-3.0368086319198297e-7,-2.562414914304632e-7,-3.5986582012860425e-7,-5.170056161115992e-7
t28,-2.97227493146563e-7,-2.4304654948557696e-7,-3.5691826347052727e-7,-5.215838176582646e-7
t29,-2.9008230408051054e-7,-2.2632934163475586e-7,-3.54181655519075e-7,-5.283660083422632e-7
t30,-2.780215695554989e-7,-2.0180828673550204e-7,-3.4867108729644325e-7,-5.362991949347776e-7
t31,-2.5918090106233856e-7,-1.6851911180893286e-7,-3.358848950080724e-7,-5.344585170337165e-7
t32,-1.9129096100144676e-7,-6.225336195946129e-8,-2.7735305861892973e-7,-4.895586934473738e-7
t33,-1.2499266586898297e-7,-1.4261932531911985e-8,-1.9676369603821475e-7,-3.7547885762685833e-7
t34,-1.0555938639194595e-7,-9.49635025044277e-9,-1.6421216575246704e-7,-3.0771138748772474e-7
t35,-1.0482294878670608e-7,-9.27326774413604e-9,-1.627316669739117e-7,-3.029672173233049e-7
t36,-9.68053129182573e-8,-6.827322036810425e-9,-1.5266582967810473e-7,-2.8653519079081605e-7
t37,-8.757923061598447e-8,-3.934845816534189e-9,-1.4019354528140884e-7,-2.6477485753346797e-7
t38,-8.351897252479705e-8,-2.8482847528573704e-9,-1.3413000593781615e-7,-2.565633452770152e-7
t39,-8.383403899749811e-8,-3.3513962813152385e-9,-1.3571984863720794e-7,-2.61672156213281e-7
t40,-1.0359048898558348e-7,-1.059888292714084e-8,-1.6658826928852706e-7,-3.280725409720623e-7
t41,-1.326938172426405e-7,-3.922088713315485e-8,-1.980353244108197e-7,-3.669400730536097e-7
t42,-1.9564730940716846e-7,-1.2886258571315387e-7,-2.5419107970863266e-7,-4.121689988363498e-7
t43,-2.515206142666797e-7,-2.0202681549134452e-7,-3.019030525989402e-7,-4.4935445915413714e-7
t44,-2.566496505467848e-7,-2.0810171885416018e-7,-3.0618250832130135e-7,-4.5251505835226057e-7
t45,-2.6324540670089e-7,-2.1507003573617852e-7,-3.1311728307816905e-7,-4.608624430897229e-7
t46,-2.7164974762784285e-7,-2.2783907600920938e-7,-3.2030734980682435e-7,-4.6321714104460184e-7
t47,-2.800466232693388e-7,-2.437198822496857e-7,-3.260322264505668e-7,-4.6079682468299916e-7
