Zone,1,2,3,4
t21,-1.0155910126840757e-6,-9.481966281343597e-7,-1.0809534314712288e-6,-1.0107718607369802e-6
t22,-8.59907652813652e-7,-7.867149811684186e-7,-9.324167737886269e-7,-8.501308885528085e-7
t23,-5.694472074268015e-7,-4.924310104407652e-7,-6.470988665273644e-7,-5.595511546018606e-7
t24,-5.157673050499193e-7,-4.3807596620812107e-7,-5.942852625167911e-7,-5.055786833533705e-7
t25,-5.285232380972862e-7,-4.508222275296316e-7,-6.065482895699032e-7,-5.172073715320919e-7
t26,-5.752230328754161e-7,-4.976712708950723e-7,-6.524604122584911e-7,-5.635141559778855e-7
t27,-6.827315462741387e-7,-6.052110955979562e-7,-7.591638837290783e-7,-6.699880393353887e-7
t28,-7.707851262000571e-7,-6.963320272550749e-7,-8.426709530127759e-7,-7.60697315496441e-7
t29,-8.575061583897176e-7,-7.875072272323721e-7,-9.23112619123358e-7,-8.520832055134109e-7
t30,-9.761514360944667e-7,-9.104688819920638e-7,-1.0350718607582934e-6,-9.763210980199082e-7
t31,-1.0604765305450473e-6,-9.975109596189412e-7,-1.1132213298897617e-6,-1.0675842751330348e-6
t32,-2.4210916058295256e-6,-2.3607852448085634e-6,-2.4616625581516587e-6,-2.43138524045851e-6
t33,-1.6533935989486105e-5,-1.6478507472341524e-5,-1.6559001878292327e-5,-1.6531446023381604e-5
t34,-6.0717017929318344e-5,-6.065925749318366e-5,-6.07382250337269e-5,-6.069591075455907e-5
t35,-6.41843456002894e-5,-6.412601868351988e-5,-6.420465440491177e-5,-6.415629865998795e-5
t36,-6.438442154627678e-5,-6.432195731620477e-5,-6.440501907848789e-5,-6.435272558180713e-5
t37,-6.395695685239912e-5,-6.388871990076093e-5,-6.397856879036725e-5,-6.39229997224001e-5
t38,-6.209025034070717e-5,-6.202028758210412e-5,-6.211404635114879e-5,-6.206157300587013e-5
t39,-5.49255496380228e-5,-5.484819825225865e-5,-5.495128904477428e-5,-5.489569682190984e-5
t40,-8.578023177046042e-6,-8.49036133960042e-6,-8.614316336269e-6,-8.548429532245042e-6
t41,-1.6583514421648382e-6,-1.561485824567525e-6,-1.715588648121559e-6,-1.6382295678335213e-6
t42,-5.053085809620311e-7,-4.1950012368606666e-7,-5.765821641952729e-7,-4.953244770145301e-7
t43,-4.251690316821505e-7,-3.4242907889574853e-7,-5.037183159769871e-7,-4.144204803029192e-7
t44,-4.977904552031357e-7,-4.1406007270542205e-7,-5.789155425687381e-7,-4.849404799592766e-7
t45,-5.839172677437231e-7,-5.001987478000572e-7,-6.661672356615555e-7,-5.695777804474241e-7
t46,-4.526774043151366e-7,-3.6417129691811796e-7,-5.37796707986083e-7,-4.355221094544777e-7
t47,-3.361416812863088e-7,-2.461596983425061e-7,-4.2404449481209345e-7,-3.1821074660813413e-7
