Constraint,CapRes_1
t161,2.6434193982722817e-5
t162,3.931823322847898e-5
t163,4.215670537611827e-5
t164,4.095160716208687e-5
t165,3.9925374112724105e-5
t166,4.4008443485737936e-5
t167,5.1900567857897905e-5
t168,5.323958139231863e-5
t169,5.139426055107924e-5
t170,4.7114186985843824e-5
t171,4.293090460322844e-5
t172,3.793122478355748e-5
t173,3.3661368595770674e-5
t174,3.0333830553339648e-5
t175,2.8465793516195e-5
t176,2.2960312989404926e-5
t177,1.7287082504331545e-5
t178,1.4177201144150149e-5
t179,1.2109374561922074e-5
t180,1.16384178291894e-5
t181,1.2128365371954285e-5
t182,1.3143641932287596e-5
t183,1.4869653111833962e-5
t184,1.745120819733345e-5
t185,2.355407991384521e-5
t186,3.411872398234743e-5
t187,3.6097682698108586e-5
t188,3.51118850683776e-5
t189,3.359840955411682e-5
t190,3.76594467647007e-5
t191,4.456589480190712e-5
t192,4.589343201672764e-5
t193,4.540708944021954e-5
t194,4.451754478108885e-5
t195,4.2061239291445324e-5
t196,3.837168119742934e-5
t197,3.4497960126832414e-5
t198,3.1196797363179516e-5
t199,2.9191735292730774e-5
t200,2.446288724206446e-5
t201,1.8529029169075712e-5
t202,1.5694202632409383e-5
t203,1.387303542255639e-5
t204,1.3964828105282369e-5
t205,1.51361929075754e-5
t206,1.7061934383691644e-5
t207,2.1493201909334947e-5
t208,3.113064007047256e-5
t209,5.257750828351551e-5
t210,9.067726090252308e-5
t211,9.807143054713617e-5
t212,9.681018688920118e-5
t213,8.727978802607368e-5
t214,9.318061880496876e-5
t215,0.00011698992337760379
t216,0.00012550614866254213
t217,0.00010766356650531248
t218,9.955659232286207e-5
t219,8.149771599740954e-5
t220,6.125553068960823e-5
t221,5.001648584225583e-5
t222,4.239600777390038e-5
t223,3.8609191544246965e-5
t224,3.2902236907912136e-5
t225,2.7032297434072856e-5
t226,2.3653042472928734e-5
t227,1.83093612830936e-5
t228,1.670147328677471e-5
t229,1.7832599238416376e-5
t230,2.0373703568545722e-5
t231,2.3544677437175936e-5
t232,3.165442224889981e-5
t233,5.16701363860211e-5
t234,0.00010995244354839649
t235,0.00014228035336791162
t236,0.00013139428784339174
t237,0.00012073569413644388
t238,0.0001345713411141099
t239,0.00020175118739405404
t240,0.00026095185811419254
t241,0.00020032153852834328
t242,0.00015516641334547488
t243,0.0001196824035274861
t244,7.913919104664289e-5
t245,5.857889969944322e-5
t246,4.906408480328853e-5
t247,4.29107738217921e-5
t248,3.2697883953318e-5
t249,2.297887457262007e-5
t250,1.928903043895664e-5
t251,1.6750504728813917e-5
t252,1.5739217309739078e-5
t253,1.669897168549673e-5
t254,1.8630125895321647e-5
t255,2.256848310725685e-5
t256,2.962507907979175e-5
t257,4.557018685585022e-5
t258,0.0001057759041170285
t259,0.0001448767355683861
t260,9.447372834954721e-5
t261,8.905649210043605e-5
t262,9.168031402621095e-5
t263,0.00010081546530940761
t264,7.632958234521077e-5
t265,6.99127913477477e-5
t266,6.419000642244445e-5
t267,5.6445439789249464e-5
t268,4.6020509707106786e-5
t269,3.9889670532870124e-5
t270,3.554616896585355e-5
t271,2.3262462689871295e-5
t272,3.048338886448763e-5
t273,2.171633927248059e-5
t274,1.7959781186305763e-5
t275,1.5991739744085845e-5
t276,1.5083054805209276e-5
t277,1.5751924359401636e-5
t278,1.702465665656552e-5
t279,1.9320638391291556e-5
t280,2.381743036397217e-5
t281,3.267999528129327e-5
t282,5.487718274099146e-5
t283,6.602086262648703e-5
t284,6.214707838598901e-5
t285,6.0053410979428626e-5
t286,6.587488571192641e-5
t287,7.870635433873164e-5
t288,8.555467198748508e-5
t289,7.937510151497414e-5
t290,7.610048969270726e-5
t291,6.298395413562514e-5
